Date,0700.HK,0005.HK,0016.HK,0857.HK,0941.HK,0241.HK,0175.HK,1099.HK,1299.HK,0027.HK
2022-12-21,295.3811340332031,47.5,103.5,3.5,51.29999923706055,7.349999904632568,11.5600004196167,19.399999618530273,84.30000305175781,50.5
2022-12-22,307.5382995605469,48.20000076293945,105.5,3.549999952316284,52.0,7.460000038146973,11.960000038146973,19.5,83.9000015258789,51.70000076293945
2022-12-23,304.11907958984375,47.900001525878906,105.9000015258789,3.5199999809265137,51.900001525878906,7.090000152587891,11.65999984741211,19.579999923706055,86.69999694824219,51.150001525878906
2022-12-28,309.8177795410156,48.5,105.19999694824219,3.609999895095825,52.04999923706055,7.059999942779541,11.359999656677246,19.65999984741211,86.9000015258789,52.20000076293945
2022-12-29,318.36578369140625,48.400001525878906,104.80000305175781,3.559999942779541,51.150001525878906,6.739999771118164,11.359999656677246,19.979999542236328,85.0999984741211,51.900001525878906
2022-12-30,317.2260437011719,48.54999923706055,106.80000305175781,3.569999933242798,51.75,6.650000095367432,11.399999618530273,19.84000015258789,86.80000305175781,51.599998474121094
2023-01-03,327.8635559082031,48.70000076293945,109.19999694824219,3.5999999046325684,52.5,6.650000095367432,11.859999656677246,20.350000381469727,88.30000305175781,53.599998474121094
2023-01-04,342.87005615234375,50.0,108.5,3.5999999046325684,53.54999923706055,7.400000095367432,12.039999961853027,20.600000381469727,91.3499984741211,54.25
2023-01-05,347.79998779296875,51.25,110.69999694824219,3.5799999237060547,53.70000076293945,7.239999771118164,12.380000114440918,20.5,89.0999984741211,52.900001525878906
2023-01-06,349.3999938964844,52.20000076293945,109.19999694824219,3.5899999141693115,53.25,6.880000114440918,11.9399995803833,20.200000762939453,88.19999694824219,51.04999923706055
2023-01-09,362.0,53.29999923706055,109.19999694824219,3.5999999046325684,53.20000076293945,7.409999847412109,11.65999984741211,20.25,87.30000305175781,53.20000076293945
2023-01-10,362.3999938964844,53.29999923706055,108.5999984741211,3.5799999237060547,53.20000076293945,7.670000076293945,12.359999656677246,19.84000015258789,86.3499984741211,53.5
2023-01-11,373.79998779296875,53.650001525878906,106.4000015258789,3.609999895095825,53.79999923706055,7.46999979019165,12.020000457763672,20.0,85.75,52.95000076293945
2023-01-12,364.0,54.099998474121094,108.5999984741211,3.75,54.75,7.320000171661377,12.239999771118164,20.299999237060547,88.4000015258789,53.20000076293945
2023-01-13,371.3999938964844,55.5,107.5,3.8299999237060547,55.5,7.590000152587891,12.119999885559082,20.299999237060547,87.94999694824219,53.400001525878906
2023-01-16,370.20001220703125,56.650001525878906,108.5999984741211,3.880000114440918,55.099998474121094,7.349999904632568,11.720000267028809,20.049999237060547,87.94999694824219,54.150001525878906
