Date,TCS.NS,INFY.NS,RELIANCE.NS,HDFCBANK.NS,LT.NS,HINDUNILVR.NS,ASIANPAINT.NS,COALINDIA.NS,NTPC.NS,TATAMOTORS.NS
2013-12-09,1002.4249877929688,417.3500061035156,401.82635498046875,348.32501220703125,764.5999755859375,559.75,504.6499938964844,290.6000061035156,127.875,389.2746276855469
2013-12-10,1041.375,421.35626220703125,404.4322204589844,348.3500061035156,733.5999755859375,563.2000122070312,504.70001220703125,285.8500061035156,113.375,386.5538330078125
2013-12-11,1029.0250244140625,421.79376220703125,403.4950256347656,347.7749938964844,720.4000244140625,565.4500122070312,501.75,288.8999938964844,116.04166412353516,373.79071044921875
2013-12-12,1014.4500122070312,420.48126220703125,397.826171875,347.6000061035156,710.0333251953125,562.75,497.79998779296875,281.0,116.375,356.6248474121094
2013-12-13,1000.9000244140625,421.73126220703125,395.3117370605469,344.9750061035156,699.9666748046875,560.8499755859375,494.1000061035156,283.1000061035156,114.41666412353516,366.4197692871094
2013-12-16,1009.5750122070312,431.53125,386.32843017578125,342.17498779296875,705.566650390625,557.2000122070312,485.8500061035156,286.8500061035156,114.95833587646484,364.1441955566406
2013-12-17,1022.6749877929688,432.04376220703125,383.6540222167969,328.79998779296875,709.6666870117188,556.8499755859375,490.6499938964844,278.45001220703125,112.45833587646484,362.9569091796875
2013-12-18,1027.9000244140625,432.1812438964844,393.14019775390625,333.125,728.4666748046875,558.0499877929688,497.1499938964844,283.04998779296875,112.875,364.58941650390625
2013-12-19,1040.75,439.03125,390.44293212890625,326.2749938964844,707.2999877929688,554.9500122070312,485.95001220703125,281.0,112.5,365.6282653808594
2013-12-20,1060.2750244140625,443.91876220703125,409.2324523925781,332.29998779296875,707.4000244140625,568.7000122070312,489.6000061035156,284.3999938964844,113.29166412353516,369.7342224121094
2013-12-23,1054.5250244140625,433.5562438964844,409.7353515625,332.2250061035156,712.6666870117188,565.2000122070312,486.70001220703125,283.6000061035156,114.0,371.6635437011719
2013-12-24,1055.3499755859375,435.79998779296875,410.5582580566406,328.6499938964844,717.3333129882812,565.0999755859375,487.3999938964844,283.20001220703125,114.83333587646484,368.69537353515625
2013-12-26,1050.1500244140625,440.08123779296875,405.75799560546875,334.5249938964844,715.1333618164062,563.5999755859375,489.8500061035156,282.1000061035156,114.29166412353516,366.3208312988281
2013-12-27,1080.324951171875,445.1625061035156,401.7806396484375,334.82501220703125,718.6333618164062,568.75,485.1000061035156,283.1000061035156,114.375,367.9533386230469
2013-12-30,1078.0250244140625,437.79376220703125,405.5522766113281,334.75,709.3333129882812,573.3499755859375,487.8500061035156,289.75,113.375,370.82257080078125
2013-12-31,1086.0250244140625,435.70623779296875,409.25531005859375,332.92498779296875,713.5,570.6500244140625,490.0,290.0,114.16666412353516,372.40557861328125
2014-01-01,1076.6500244140625,433.5,406.3294677734375,332.57501220703125,712.3666381835938,572.3499755859375,499.75,292.20001220703125,115.16666412353516,370.9709777832031
2014-01-02,1083.5,435.0687561035156,400.02056884765625,328.5,690.7000122070312,562.4000244140625,485.54998779296875,283.1499938964844,112.41666412353516,368.3985595703125
2014-01-03,1111.0999755859375,445.64373779296875,395.10601806640625,331.54998779296875,674.7000122070312,565.0,489.5,277.6000061035156,109.79166412353516,358.8509521484375
2014-01-06,1119.800048828125,439.73748779296875,390.8543701171875,330.8500061035156,673.6666870117188,563.5,490.6499938964844,276.29998779296875,110.125,363.05584716796875
2014-01-07,1103.074951171875,432.14373779296875,384.97979736328125,332.20001220703125,679.6666870117188,558.9500122070312,489.95001220703125,275.3500061035156,108.20833587646484,361.2254943847656
2014-01-08,1116.324951171875,428.51251220703125,388.1571044921875,332.3500061035156,665.566650390625,559.1500244140625,490.5,288.79998779296875,107.95833587646484,366.3208312988281
2014-01-09,1120.9749755859375,431.3500061035156,388.9114074707031,331.4750061035156,647.933349609375,554.1500244140625,490.1000061035156,295.6499938964844,111.375,364.0452575683594
2014-01-10,1140.449951171875,443.90625,392.31732177734375,331.0249938964844,637.3666381835938,549.7999877929688,492.0,288.95001220703125,109.5,363.1053466796875
2014-01-13,1184.375,458.125,402.4892578125,336.42498779296875,653.7000122070312,545.7000122070312,494.04998779296875,290.25,110.625,372.1582336425781
2014-01-14,1163.375,460.84375,402.9921569824219,336.1499938964844,648.0,538.4000244140625,487.3999938964844,288.8999938964844,109.375,367.8544006347656
2014-01-15,1176.800048828125,464.0062561035156,404.7979431152344,340.2749938964844,666.066650390625,545.2000122070312,493.5,295.20001220703125,110.20833587646484,373.2960205078125
2014-01-16,1175.1500244140625,465.6312561035156,405.11798095703125,336.5249938964844,669.3333129882812,552.0999755859375,495.6000061035156,302.6499938964844,110.95833587646484,365.8261413574219
2014-01-17,1106.5250244140625,466.21875,404.4779357910156,332.5,668.566650390625,558.9000244140625,491.54998779296875,272.0,109.66666412353516,365.77667236328125
2014-01-20,1169.0999755859375,468.6625061035156,397.6204528808594,335.0249938964844,665.9666748046875,555.0999755859375,490.0,269.45001220703125,109.875,370.9215087890625
2014-01-21,1140.1500244140625,469.79376220703125,394.55743408203125,338.04998779296875,674.3333129882812,559.7999877929688,479.25,263.0,108.95833587646484,380.7164306640625
2014-01-22,1137.0250244140625,470.73748779296875,398.85479736328125,338.54998779296875,669.8666381835938,566.4500122070312,472.6000061035156,261.79998779296875,110.54166412353516,382.00262451171875
2014-01-23,1126.2249755859375,474.0625,395.81463623046875,339.75,688.6333618164062,567.0999755859375,473.0,259.1000061035156,109.25,379.5291748046875
2014-01-24,1124.3499755859375,469.76873779296875,396.660400390625,336.70001220703125,670.9000244140625,565.7999877929688,478.1000061035156,257.8999938964844,109.58333587646484,366.46923828125
2014-01-27,1114.800048828125,466.5249938964844,385.4598083496094,324.6000061035156,653.433349609375,575.25,476.3999938964844,249.0,107.875,344.5543212890625
2014-01-28,1106.175048828125,459.38751220703125,386.23699951171875,322.2250061035156,655.6666870117188,569.7000122070312,476.79998779296875,249.14999389648438,107.08333587646484,352.46942138671875
2014-01-29,1104.9000244140625,464.7250061035156,382.4653625488281,322.7250061035156,662.0999755859375,569.5999755859375,482.8999938964844,250.6999969482422,106.5,348.0171813964844
2014-01-30,1108.800048828125,463.03125,377.1622314453125,315.8999938964844,653.6333618164062,570.4000244140625,477.5,246.14999389648438,106.83333587646484,357.9110412597656
2014-01-31,1120.5250244140625,462.63751220703125,379.97381591796875,314.25,657.2666625976562,570.0999755859375,471.70001220703125,247.4499969482422,105.375,345.84051513671875
2014-02-03,1097.2249755859375,453.64373779296875,375.2878723144531,313.25,652.8666381835938,569.75,469.8999938964844,245.75,105.0,332.830078125
2014-02-04,1075.675048828125,445.13751220703125,375.58502197265625,315.29998779296875,655.3333129882812,570.25,476.0,249.3000030517578,108.5,342.1797790527344
2014-02-05,1097.199951171875,447.65625,373.61920166015625,318.7250061035156,656.933349609375,570.0,484.45001220703125,255.1999969482422,110.33333587646484,351.33160400390625
2014-02-06,1087.625,445.4624938964844,372.97918701171875,323.5,650.1666870117188,586.5499877929688,484.04998779296875,267.29998779296875,111.33333587646484,353.85455322265625
2014-02-07,1072.199951171875,445.8187561035156,372.3391418457031,323.875,656.0999755859375,577.6500244140625,490.5,269.6000061035156,113.29166412353516,356.37750244140625
2014-02-10,1046.7750244140625,446.7250061035156,375.76788330078125,321.95001220703125,663.933349609375,564.0,487.0,270.0,112.66666412353516,360.1866455078125
2014-02-11,1050.8499755859375,449.53125,368.1332092285156,322.3999938964844,662.433349609375,562.4500122070312,484.3500061035156,270.0,110.125,370.5257263183594
2014-02-12,1052.7249755859375,450.01251220703125,373.9163513183594,322.7250061035156,673.6666870117188,569.4500122070312,477.3500061035156,269.8999938964844,108.95833587646484,372.6529235839844
2014-02-13,1066.875,448.2250061035156,369.1161193847656,316.25,657.9666748046875,557.25,468.79998779296875,260.3999938964844,108.41666412353516,371.9603576660156
2014-02-14,1083.949951171875,455.5375061035156,375.8135986328125,320.8999938964844,661.8333129882812,560.25,472.79998779296875,260.79998779296875,110.20833587646484,384.6739807128906
2014-02-17,1082.699951171875,457.26873779296875,371.3562316894531,325.20001220703125,665.5333251953125,560.25,473.25,256.25,111.54166412353516,382.4973449707031
2014-02-18,1083.0,460.25,371.74481201171875,330.20001220703125,678.2666625976562,562.25,473.1000061035156,255.10000610351562,111.54166412353516,387.24639892578125
2014-02-19,1098.9749755859375,469.17498779296875,371.3333740234375,335.0249938964844,687.5333251953125,558.7000122070312,468.5,254.8000030517578,110.29166412353516,387.3453369140625
2014-02-20,1094.675048828125,463.90625,368.2246398925781,331.375,689.7666625976562,554.0499877929688,461.6000061035156,251.0500030517578,109.25,387.6916198730469
2014-02-21,1102.8499755859375,468.8374938964844,370.9905090332031,332.20001220703125,703.433349609375,555.3499755859375,464.0,251.25,110.375,391.9954528808594
