Date,BARC.L,BP.L,BHP.L,AZN.L,VOD.L,TSCO.L,RR.L,NG.L,ULVR.L,BBY.L
2014-09-30,227.4499969482422,453.45001220703125,1715.0,4441.5,204.39999389648438,235.8531951904297,330.9856872558594,968.7269287109375,2585.0,188.60000610351562
2014-10-01,227.3000030517578,452.75,1690.5,4360.5,203.85000610351562,228.25320434570312,323.9507141113281,966.5451049804688,2547.0,185.1999969482422
2014-10-02,220.8000030517578,440.1000061035156,1667.0,4279.5,200.60000610351562,225.7198944091797,321.8916931152344,948.5451049804688,2522.0,178.0
2014-10-03,224.60000610351562,445.0,1650.5,4362.0,203.85000610351562,218.05650329589844,327.2107849121094,965.4541015625,2542.0,176.89999389648438
2014-10-06,232.3000030517578,446.1000061035156,1675.5,4365.0,206.10000610351562,223.88319396972656,329.9562072753906,961.0905151367188,2548.0,174.3000030517578
2014-10-07,230.64999389648438,441.75,1668.0,4303.0,206.0500030517578,231.29319763183594,322.5780029296875,955.0905151367188,2516.0,168.39999389648438
2014-10-08,229.39999389648438,440.1499938964844,1657.0,4261.0,204.3000030517578,234.45989990234375,323.77911376953125,956.7269287109375,2535.0,161.60000610351562
2014-10-09,225.9499969482422,435.1499938964844,1665.5,4210.0,197.35000610351562,236.4864959716797,323.264404296875,955.635986328125,2541.0,155.8000030517578
2014-10-10,223.89999389648438,428.1499938964844,1613.5,4300.0,193.89999389648438,234.64990234375,318.97479248046875,949.635986328125,2509.0,152.0
2014-10-13,223.39999389648438,431.95001220703125,1660.5,4355.5,193.8000030517578,228.75990295410156,321.5484924316406,951.2722778320312,2511.0,153.6999969482422
2014-10-14,222.0,426.6499938964844,1686.5,4406.5,193.89999389648438,227.7465057373047,328.58349609375,958.90869140625,2526.0,148.6999969482422
2014-10-15,212.1999969482422,416.70001220703125,1648.0,4264.5,186.3000030517578,221.53990173339844,320.0043029785156,948.5451049804688,2483.0,156.5
2014-10-16,207.89999389648438,420.0,1658.5,4225.0,184.5,217.8665008544922,322.7496032714844,943.0905151367188,2447.0,158.39999389648438
2014-10-17,213.10000610351562,428.5,1682.5,4186.5,189.5,221.09649658203125,285.5158996582031,952.3632202148438,2498.0,163.10000610351562
2014-10-20,218.35000610351562,421.8999938964844,1659.0,4169.5,189.5500030517578,227.1132049560547,280.71148681640625,951.8178100585938,2489.0,160.6999969482422
2014-10-21,223.39999389648438,433.6499938964844,1689.5,4235.5,193.75,235.47320556640625,275.5639953613281,957.8178100585938,2527.0,165.6999969482422
2014-10-22,223.39999389648438,434.25,1664.5,4316.5,194.10000610351562,231.79989624023438,274.7060852050781,965.4541015625,2534.0,161.8000030517578
2014-10-23,225.89999389648438,438.95001220703125,1658.5,4334.5,196.85000610351562,216.5998992919922,275.0492858886719,975.2722778320312,2440.0,161.0
