Date,AMZN,META,GOOG,BA,TSLA,AAPL,WMT,NFLX,XOM,JNJ
2015-01-16,14.536999702453613,75.18000030517578,25.334444046020508,130.77999877929688,12.871333122253418,26.497499465942383,28.92333221435547,48.191429138183594,91.12000274658203,104.04000091552734
2015-01-20,14.472000122070312,76.23999786376953,25.275606155395508,131.22000122070312,12.795332908630371,27.18000030517578,28.89666748046875,49.82857131958008,91.08999633789062,101.29000091552734
2015-01-21,14.862500190734863,76.73999786376953,25.83108139038086,132.41000366210938,13.104666709899902,27.387500762939453,28.8799991607666,58.468570709228516,91.87000274658203,101.9000015258789
2015-01-22,15.515999794006348,77.6500015258789,26.64634132385254,135.63999938964844,13.441332817077637,28.100000381469727,29.433332443237305,61.20571517944336,92.87000274658203,103.76000213623047
2015-01-23,15.619500160217285,77.83000183105469,26.923580169677734,134.6199951171875,13.419333457946777,28.2450008392334,29.503332138061523,62.494285583496094,90.88999938964844,102.19999694824219
2015-01-26,15.482999801635742,77.5,26.68722915649414,134.07000732421875,13.770000457763672,28.274999618530273,29.543333053588867,63.79428482055664,91.76000213623047,102.26000213623047
2015-01-27,15.337499618530273,75.77999877929688,25.86050033569336,132.47999572753906,13.732000350952148,27.28499984741211,29.176666259765625,64.88143157958984,90.94999694824219,102.08999633789062
2015-01-28,15.195500373840332,76.23999786376953,25.4301815032959,139.63999938964844,13.291333198547363,28.827499389648438,28.940000534057617,63.20857238769531,87.94999694824219,101.4800033569336
2015-01-29,15.58899974822998,78.0,25.463090896606445,147.77999877929688,13.680000305175781,29.725000381469727,29.239999771118164,63.400001525878906,87.58000183105469,102.37999725341797
2015-01-30,17.726499557495117,75.91000366210938,26.65282440185547,145.3699951171875,13.573332786560059,29.290000915527344,28.32666778564453,63.11428451538086,87.41999816894531,100.13999938964844
2015-02-02,18.223499298095703,74.98999786376953,26.351652145385742,146.25999450683594,14.062666893005371,29.657499313354492,28.56999969482422,63.0099983215332,89.58000183105469,100.83000183105469
