Date,7203.T,6758.T,8306.T,4502.T,3382.T,9432.T,1802.T,9501.T,3407.T,5401.T
2020-10-26,1398.0,8017.0,423.3999938964844,3495.0,1134.6666259765625,89.19999694824219,909.0,288.0,954.0999755859375,1102.0
2020-10-27,1392.199951171875,8100.0,419.3999938964844,3489.0,1114.0,90.0,896.0,284.0,943.2000122070312,1070.5
2020-10-28,1379.0,8248.0,411.8999938964844,3431.0,1090.6666259765625,88.33999633789062,868.0,282.0,930.5,1035.5
2020-10-29,1378.5999755859375,8800.0,411.6000061035156,3441.0,1082.3333740234375,88.4800033569336,873.0,279.0,929.2000122070312,1035.5
2020-10-30,1360.5999755859375,8674.0,410.20001220703125,3239.0,1059.6666259765625,87.83999633789062,870.0,269.0,900.4000244140625,1006.5
2020-11-02,1389.800048828125,8768.0,421.70001220703125,3291.0,1085.6666259765625,90.27999877929688,885.0,283.0,925.0,1044.0
2020-11-04,1395.199951171875,8903.0,422.20001220703125,3371.0,1087.6666259765625,90.37999725341797,887.0,281.0,921.4000244140625,1073.0
2020-11-05,1396.800048828125,9229.0,421.79998779296875,3512.0,1077.6666259765625,91.5199966430664,891.0,279.0,913.5,1049.0
2020-11-06,1403.800048828125,9145.0,426.79998779296875,3463.0,1080.0,91.77999877929688,904.0,286.0,926.0,1101.0
2020-11-09,1434.5999755859375,9220.0,428.0,3475.0,1047.6666259765625,96.23999786376953,901.0,281.0,943.2999877929688,1098.5
2020-11-10,1453.4000244140625,8920.0,445.8999938964844,3548.0,1139.0,97.31999969482422,929.0,296.0,963.0,1228.5
2020-11-11,1500.5999755859375,9040.0,459.0,3624.0,1151.3333740234375,98.73999786376953,934.0,303.0,988.5999755859375,1241.0
2020-11-12,1487.0,9160.0,451.0,3588.0,1136.0,100.73999786376953,922.0,293.0,966.9000244140625,1197.5
2020-11-13,1463.199951171875,9326.0,445.6000061035156,3600.0,1105.3333740234375,99.04000091552734,915.0,287.0,947.2000122070312,1179.5
2020-11-16,1494.800048828125,9491.0,461.1000061035156,3565.0,1119.0,99.30000305175781,926.0,297.0,977.0,1215.0
2020-11-17,1487.800048828125,9408.0,479.3999938964844,3605.0,1137.0,98.72000122070312,949.0,295.0,989.0,1262.5
2020-11-18,1463.800048828125,9237.0,468.20001220703125,3641.0,1124.0,98.30000305175781,947.0,289.0,982.4000244140625,1236.5
2020-11-19,1460.199951171875,9249.0,461.1000061035156,3625.0,1115.0,99.45999908447266,974.0,286.0,988.7999877929688,1183.0
2020-11-20,1470.4000244140625,9235.0,464.1000061035156,3649.0,1102.0,99.66000366210938,956.0,289.0,989.7000122070312,1217.0
2020-11-24,1486.199951171875,9490.0,471.3999938964844,3660.0,1129.0,98.45999908447266,976.0,290.0,1023.5,1277.0
2020-11-25,1470.0,9810.0,473.0,3688.0,1153.0,99.4800033569336,969.0,288.0,1014.5,1329.0
2020-11-26,1460.199951171875,9754.0,471.29998779296875,3681.0,1164.0,100.0199966430664,939.0,286.0,1002.5,1320.0
2020-11-27,1450.4000244140625,9812.0,463.29998779296875,3732.0,1141.0,100.81999969482422,956.0,283.0,996.2000122070312,1327.5
2020-11-30,1399.800048828125,9704.0,448.5,3745.0,1104.3333740234375,98.5999984741211,920.0,272.0,957.0999755859375,1276.5
2020-12-01,1403.5999755859375,9800.0,449.79998779296875,3731.0,1115.6666259765625,98.68000030517578,936.0,274.0,997.2999877929688,1303.5
2020-12-02,1415.800048828125,9618.0,454.70001220703125,3839.0,1152.0,99.91999816894531,941.0,278.0,1019.5,1323.0
2020-12-03,1432.800048828125,9765.0,450.8999938964844,3840.0,1139.0,101.4000015258789,944.0,285.0,1020.0,1326.0
2020-12-04,1436.199951171875,9757.0,450.5,3899.0,1172.0,102.22000122070312,945.0,281.0,1039.0,1391.5
2020-12-07,1440.800048828125,9675.0,448.5,3870.0,1167.6666259765625,101.33999633789062,946.0,275.0,1049.0,1332.0
2020-12-08,1439.800048828125,9704.0,444.29998779296875,3857.0,1147.0,102.0,948.0,276.0,1039.5,1335.0
2020-12-09,1469.800048828125,9872.0,444.8999938964844,3882.0,1167.6666259765625,102.80000305175781,945.0,275.0,1067.5,1363.0
2020-12-10,1496.0,9818.0,441.79998779296875,3877.0,1201.0,103.18000030517578,939.0,272.0,1063.0,1335.0
2020-12-11,1564.0,9858.0,447.79998779296875,3870.0,1200.0,104.08000183105469,931.0,276.0,1020.0,1349.5
2020-12-14,1590.4000244140625,9783.0,450.1000061035156,3885.0,1207.6666259765625,106.68000030517578,933.0,277.0,1031.5,1337.5
2020-12-15,1581.0,9730.0,445.6000061035156,3856.0,1198.0,106.0,928.0,272.0,1031.5,1300.0
2020-12-16,1596.0,9765.0,447.3999938964844,3813.0,1182.6666259765625,105.55999755859375,921.0,273.0,1039.5,1338.5
2020-12-17,1600.0,10025.0,445.3999938964844,3840.0,1172.3333740234375,106.41999816894531,898.0,271.0,1022.5,1310.5
2020-12-18,1582.199951171875,10255.0,447.79998779296875,3877.0,1198.3333740234375,106.91999816894531,898.0,274.0,1037.5,1330.0
2020-12-21,1570.0,10405.0,457.8999938964844,3862.0,1176.0,106.66000366210938,884.0,272.0,1050.5,1348.0
